ID,ref,Sous-catégorie,Variété,,Nom,Title,Type variétal,Production,Conditionnement,Fournisseur,Prix d'achat,Prix de vente,impact sur le poids,EAN,Meta-title
1239,,351,Potimarron Red Kuri Bio,Plant de ,Potimarron Red Kuri Bio,Plant de Potimarron Red Kuri Bio,,54,10515,79,0.00,2.90,0.20,3701450220167,Nos plants potagers en godet de Potimarron Red Kuri Bio - La Bonne Graine
2545,,351,Potimarron Orange Summer F1 Bio,Plant de ,Potimarron Orange Summer F1 Bio,Plant de Potimarron Orange Summer F1 Bio,,54,10515,79,0.00,2.90,0.20,3701450220174,Nos plants potagers en godet de Potimarron Orange Summer F1 Bio - La Bonne Graine
885,,351,Potiron rouge vif d'Etampes Bio,Plant de ,Potiron rouge vif d'Etampes Bio,Plant de Potiron rouge vif d'Etampes Bio,,54,10515,79,0.00,2.90,0.20,3701450220181,Nos plants potagers en godet de Potiron rouge vif d'Etampes Bio - La Bonne Graine
903,,351,Potiron Bleu de Hongrie Bio,Plant de ,Potiron Bleu de Hongrie Bio,Plant de Potiron Bleu de Hongrie Bio,,54,10515,79,0.00,2.90,0.20,3701450220198,Nos plants potagers en godet de Potiron Bleu de Hongrie Bio - La Bonne Graine
161,,356,Gourmansun F1,Plant de ,356Gourmansun F1,Plant de Tomate Gourmansun F1,Hybride,10415,10515,21,01.05,2.90,0.20,3701450220204,Nos plants potagers en godet de Tomate Gourmansun F1 - La Bonne Graine
162,,356,Gourmandia F1,Plant de ,356Gourmandia F1,Plant de Tomate Gourmandia F1,Hybride,10415,10515,67,01.03,2.90,0.20,3701450220211,Nos plants potagers en godet de Tomate Gourmandia F1 - La Bonne Graine
164,,356,Ananas Bio,Plant de ,356Ananas Bio,Plant de Tomate Ananas Bio,Ancienne,54,10515,21,0.80,2.80,0.20,3701450220228,Nos plants potagers en godet de Tomate Ananas Bio - La Bonne Graine
166,,356,Yellow Gold F1,Plant de ,356Yellow Gold F1,Plant de Tomate Yellow Gold F1,Hybride,10415,10515,67,0.75,2.90,0.20,3701450220235,Nos plants potagers en godet de Tomate Yellow Gold F1 - La Bonne Graine
167,,356,Golotyna F1,Plant de ,356Golotyna F1,Plant de Tomate Golotyna F1,Hybride,10415,10515,67,0.73,2.90,0.20,3701450220242,Nos plants potagers en godet de Tomate Golotyna F1 - La Bonne Graine
169,,356,Coeur de Boeuf Bio,Plant de ,356Coeur de Boeuf Bio,Plant de Tomate Coeur de Boeuf Bio,Ancienne,54,10515,21,0.61,2.80,0.20,3701450220259,Nos plants potagers en godet de Tomate Coeur de Boeuf Bio - La Bonne Graine
176,,356,Herodes,Plant de ,356Herodes,Plant de Tomate Herodes,Ancienne,10415,10515,79,0.77,2.70,0.20,3701450220266,Nos plants potagers en godet de Tomate Herodes - La Bonne Graine
180,,356,Anacoeur,Plant de ,356Anacoeur,Plant de Tomate Anacoeur,Ancienne,10415,10515,67,0.75,2.70,0.20,3701450220273,Nos plants potagers en godet de Tomate Anacoeur - La Bonne Graine
183,,356,Noire Russe,Plant de ,356Noire Russe,Plant de Tomate Noire Russe,Ancienne,10415,10515,21,0.55,2.70,0.20,3701450220280,Nos plants potagers en godet de Tomate Noire Russe - La Bonne Graine
184,,356,Supersteak F1,Plant de ,356Supersteak F1,Plant de Tomate Supersteak F1,Hybride,10415,10515,67,0.66,2.90,0.20,3701450220297,Nos plants potagers en godet de Tomate Supersteak F1 - La Bonne Graine
674,,356,Poire Jaune,Plant de ,356Poire Jaune,Plant de Tomate Poire Jaune,Ancienne,10415,10515,21,0.67,2.70,0.20,3701450220303,Nos plants potagers en godet de Tomate Poire Jaune - La Bonne Graine
675,,356,Gigantomo F1,Plant de ,356Gigantomo F1,Plant de Tomate Gigantomo F1,Hybride,10415,10515,21,0.67,2.90,0.20,3701450220310,Nos plants potagers en godet de Tomate Gigantomo F1 - La Bonne Graine
676,,356,Maestria F1 Bio,Plant de ,356Maestria F1 Bio,Plant de Tomate Maestria F1 Bio,Hybride,54,10515,21,0.98,3.00,0.20,3701450220693,Nos plants potagers en godet de Tomate Maestria F1 Bio - La Bonne Graine
683,,356,Merveille des Marchés Bio,Plant de ,356Merveille des Marchés Bio,Plant de Tomate Merveille des Marchés Bio,Ancienne,54,10515,79,0.77,2.80,0.20,3701450221256,Nos plants potagers en godet de Tomate Merveille des Marchés Bio - La Bonne Graine
688,,356,Red Zebra,Plant de ,356Red Zebra,Plant de Tomate Red Zebra,Ancienne,10415,10515,21,0.59,2.70,0.20,3701450221294,Nos plants potagers en godet de Tomate Red Zebra - La Bonne Graine
939,,356,Montfavet 64-5 F1,Plant de ,356Montfavet 64-5 F1,Plant de Tomate Montfavet 64-5 F1,Hybride,10415,10515,67,0.59,2.90,0.20,3701450221317,Nos plants potagers en godet de Tomate Montfavet 64-5 F1 - La Bonne Graine
1185,,356,Orange Wellington F1,Plant de ,356Orange Wellington F1,Plant de Tomate Orange Wellington F1,Hybride,10415,10515,21,0.89,2.90,0.20,3701450221324,Nos plants potagers en godet de Tomate Orange Wellington F1 - La Bonne Graine
1253,,356,Dattorange F1,Plant de ,356Dattorange F1,Plant de Tomate Dattorange F1,Hybride,10415,10515,67,0.97,2.90,0.20,3701450221683,Nos plants potagers en godet de Tomate Dattorange F1 - La Bonne Graine
1755,,356,As de coeur F1,Plant de ,356As de coeur F1,Plant de Tomate As de coeur F1,Hybride,10415,10515,67,0.84,2.90,0.20,3701450221706,Nos plants potagers en godet de Tomate As de coeur F1 - La Bonne Graine
1756,,356,Ochsenherz Orange,Plant de ,356Ochsenherz Orange,Plant de Tomate Ochsenherz Orange,Ancienne,10415,10515,21,0.80,2.70,0.20,3701450221713,Nos plants potagers en godet de Tomate Ochsenherz Orange - La Bonne Graine
1757,,356,Rose de Berne Bio,Plant de ,356Rose de Berne Bio,Plant de Tomate Rose de Berne Bio,Ancienne,54,10515,21,0.70,2.80,0.20,3701450221867,Nos plants potagers en godet de Tomate Rose de Berne Bio - La Bonne Graine
1861,,356,Dattored F1,Plant de ,356Dattored F1,Plant de Tomate Dattored F1,Hybride,10415,10515,67,0.97,2.90,0.20,3701450222116,Nos plants potagers en godet de Tomate Dattored F1 - La Bonne Graine
1941,,356,Liguria Bio,Plant de ,356Liguria Bio,Plant de Tomate Liguria Bio,Ancienne,54,10515,21,0.80,2.80,0.20,3701450222123,Nos plants potagers en godet de Tomate Liguria Bio - La Bonne Graine
2547,,356,Beauté Blanche Bio,Plant de ,356Beauté Blanche Bio,Plant de Tomate Beauté Blanche Bio,Ancienne,54,10515,79,0.77,2.80,0.20,3701450222147,Nos plants potagers en godet de Tomate Beauté Blanche Bio - La Bonne Graine
2683,,356,Tropicalsun F1,Plant de ,356Tropicalsun F1,Plant de Tomate Tropicalsun F1,Hybride,10415,10515,67,0.81,2.90,0.20,3701450222161,Nos plants potagers en godet de Tomate Tropicalsun F1 - La Bonne Graine
2685,,356,BuffaloSun F1,Plant de ,356BuffaloSun F1,Plant de Tomate BuffaloSun F1,Hybride,10415,10515,21,0.89,2.90,0.20,3701450222178,Nos plants potagers en godet de Tomate BuffaloSun F1 - La Bonne Graine
